Sector,company_name,location,start_date,duration,stipend,skills
Sales And Admin Coordination,Vivensa MG Impex Private Limited,Work From Home,Immediately,6 Months,"? 6,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation, MS Office, Organization, Data Entry"
Assistance To Director,Marvel Infocomm Private Limited,Ahmedabad,Immediately,6 Months,"? 14,500 /month","Communication, Problem Solving, Teamwork, MS Office"
Digital Marketing,Terkar Capital,Pune,Immediately,6 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Fashion Design Management,LetsDressUp,Work From Home,Immediately,6 Months,"? 3,000 /month","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing, Leadership, Communication, Planning"
Visualization,Studio Image Works,Gurgaon,Immediately,6 Months,"? 8,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Management,Studio Image Works,Gurgaon,Immediately,6 Months,"? 8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Business Development (Sales),Expertbells Consulting Private Limited,Agra,Immediately,6 Months,"? 5,000-20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Photography,Social Agni,Delhi,Immediately,6 Months,"? 2,500 /month","Camera Skills, Lighting, Adobe Lightroom, Composition, Photo Editing"
Partnership Management,Energy Alternatives India,Chennai,Immediately,6 Months,"? 15,000-20,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Human Resources (HR),Studio Image Works,Gurgaon,Immediately,6 Months,"? 6,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Human Resources (HR),BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,6 Months,"? 2,000-5,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
UI/UX Design,Autowhat,Mumbai,Immediately,6 Months,"? 2,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma, Adobe XD"
Graphic Design And UI/UX,Joints Health Private Limited,Delhi,Immediately,6 Months,"? 6,000 /month +  Incentives","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory, Figma, Adobe XD, User Research"
3D Animation,Studio Image Works,Gurgaon,Immediately,6 Months,"? 8,000 /month","Animation, After Effects, Blender/Maya, Storyboarding, 3D Modeling, Texturing, Rendering"
Creative Communications,Energy Alternatives India,Chennai,Immediately,2 Months,"? 15,000-20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Fashion Design - NIFT/ PEARL,Fractal Designs,Faridabad,Immediately,2 Months,"? 20,000-40,000 /month","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing"
Web3 Content Creation,The HR Mindset Corporate Service Private Limited,Mumbai,Immediately,2 Months,"? 5,000 /month","Content Strategy, Writing, Social Media, Canva, Video Editing, Web3, Solidity, Smart Contracts"
Corporate Relations,DataTrained Education Private Limited,Delhi,Immediately,2 Months,"? 10,000 /month","Communication, Professionalism, Presentation, MS Office"
Business Development (Sales),GNOVATIONS TECHNOLOGIES,Delhi,Immediately,2 Months,"? 12,000-25,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
E-Commerce Marketing,Eastcommerce Marketplace LLC,Work From Home,Immediately,2 Months,"? 8,000 /month","E-commerce Platforms, Digital Marketing, Product Listing, Analytics, Marketing Strategy, Communication, Content Creation"
iOS App Development,STEMpedia,Ahmedabad,Immediately,2 Months,"? 9,000-15,000 /month","Mobile Development, UI/UX, REST APIs, Git, Swift, Xcode, UIKit, Core Data"
Marketing,Shyam’s Salon & Academy,Mira Bhayandar,Immediately,2 Months,"? 10,000-12,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
WordPress Development,UnitedOver LLC,Work From Home,Immediately,2 Months,"? 2,000-5,000 /month","WordPress, PHP, HTML, CSS, CMS"
Digital Marketing,Shiva Verma,Delhi,Immediately,2 Months,"? 10,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
UI/UX Design,AZ ALPHA TECH SOLUTIONS PRIVATE LIMITED,Faridabad,Immediately,2 Months,"? 5,000-8,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma, Adobe XD"
PHP Development,FynTune Solution Private Limited,Navi Mumbai,Immediately,2 Months,"? 12,000-18,000 /month","PHP, MySQL, Laravel, Web Development"
"Strategic Communications, Media & Public Relations (PR)",Studio Talk (Division Of Pinstripe Zebras),Mumbai,Immediately,2 Months,"? 8,000 /month","Communication, Media Relations, Press Releases, Writing, Crisis Management"
Social Media Marketing & Digital Marketing,RentMAX - Stress Free Renting,Mumbai,Immediately,2 Months,"? 5,000-12,500 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Social Media Platforms, Content Creation, Canva"
Mobile App Development,Bilateral Solutions Private Limited,Mandi,Immediately,2 Months,"? 10,000-15,000 /month","Mobile Development, UI/UX, REST APIs, Git"
Fashion Design & Styling,SALVE,Delhi,Immediately,2 Months,"? 6,000 /month +  Incentives","Fashion Illustration, Textile Knowledge, Adobe Illustrator, Trend Analysis, Sewing"
"Content Writing (UFC, Boxing)","Zion Media (Dhaka, Bangladesh)",Work From Home,Immediately,2 Months,"? 6,500 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Golang Development,WiJungle - by HttpCart,Gurgaon,Immediately,2 Months,"? 30,000-35,000 /month","Go, Concurrency, REST APIs, Microservices"
UI Design,Guruji Astro,Jaipur,Immediately,2 Months,"? 8,000-10,000 /month","Figma, Adobe XD, Visual Design, Typography, Prototyping"
Product Management,FynTune Solution Private Limited,Turbhe,Immediately,2 Months,"? 12,000-18,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Project Management,Patrah Sustainable Lifestyle,Mumbai,Immediately,2 Months,"? 6,000 /month +  Incentives","Project Planning, Agile/Scrum, Communication, MS Project, Risk Management, Leadership, Planning, MS Office"
B2B Sales,Intesome,Chennai,Immediately,2 Months,"? 10,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Business/Sales Development (Agricultural Products),BKA Systems LLC,Chennai,Immediately,2 Months,"? 8,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Chemistry Subject Expert,HaZZten,Work From Home,Immediately,2 Months,"? 10,000-20,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Teaching,CODING JUNIORS TECH PRIVATE LIMITED,Ahmedabad,Immediately,2 Months,"? 5,000 /month","Subject Knowledge, Communication, Patience, Lesson Planning"
Business Development (Sales),Intellifi Technologies Private Limited,Delhi,Immediately,2 Months,"? 8,000-12,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Interior Design,Kitchenation,Indore,Immediately,2 Months,"? 5,000 /month","AutoCAD, SketchUp, 3D Visualization, Space Planning, Color Theory"
Subject Matter Expert (Physics And Advanced Physics),Innovalance Learning Systems,Work From Home,Immediately,2 Months,"? 12,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Solar Engineering,Globus Thenken,Pune,Immediately,2 Months,"? 12,000-16,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Statistics Subject Expert,HaZZten,Work From Home,Immediately,2 Months,"? 10,000-20,000 /month","Statistics, R/Python, Data Analysis, Probability, Hypothesis Testing"
3D Animation,Studio Image Works,Gurgaon,Immediately,2 Months,"? 8,000 /month","Animation, After Effects, Blender/Maya, Storyboarding, 3D Modeling, Texturing, Rendering"
Human Resources (HR),Smart Shine,Ahmedabad,Immediately,2 Months,"? 5,000-10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
E-Commerce Business Management,Caratly,Kolkata,Immediately,2 Months,"? 6,000-12,000 /month","E-commerce Platforms, Digital Marketing, Product Listing, Analytics, Leadership, Communication, Planning, MS Office"
Digital Project (Associate),Quantazone,Work From Home,Immediately,2 Months,"? 5,000 /month","Communication, Teamwork, MS Office, Problem Solving"
2D Animation,The Bangalore Studio The Nation's Pride,Bangalore,Immediately,2 Months,"? 10,000 /month","Animation, After Effects, Blender/Maya, Storyboarding"
Industrial Decarbonization Research,Energy Alternatives India,Chennai,Immediately,2 Months,"? 15,000-20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Climate Finance Research,Energy Alternatives India,Chennai,Immediately,2 Months,"? 15,000-20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review, Financial Analysis, Excel, Accounting Basics, Financial Modeling"
IT Sales,VortexWeb,Work From Home,Immediately,2 Months,"? 1,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Research,Requin Solutions Private Limited,Jaipur,Immediately,2 Months,"? 10,000-12,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Accounts,Matrix International,Kolkata,Immediately,2 Months,"? 8,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Product Design - Mechanical Engineering,Greendzine Technologies,Bangalore,Immediately,3 Months,"? 18,000 /month","Figma, User Research, Prototyping, Design Systems, Visual Design, AutoCAD, SolidWorks, Thermodynamics"
Social Media Content Creation,Hrita Solutions Private Limited,Mumbai,Immediately,3 Months,"? 11,000 /month","Content Strategy, Writing, Social Media, Canva, Video Editing, Social Media Platforms, Content Creation, Analytics"
CAD (Computer Aided Design) Engineering,Bempu Health,Bangalore,Immediately,3 Months,"? 15,000 /month","AutoCAD, SolidWorks, Technical Drawing, 3D Modeling"
Printed Circuit Board Design,Primary Healthtech,Delhi,Immediately,3 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Embedded Systems,STEMpedia,Ahmedabad,Immediately,3 Months,"? 10,000 /month","C/C++, Microcontrollers, RTOS, Circuit Design, Debugging"
Data Entry,Cuberoutes,Noida,Immediately,3 Months,"? 5,000 /month","Typing Speed, MS Excel, Attention to Detail, Data Management"
Banking Operations,WeMakeScholars,Hyderabad,Immediately,3 Months,"? 10,000 /month","Process Optimization, Excel, Communication, Project Management, Banking Knowledge, Financial Analysis, Customer Service"
Supply Chain Management (SCM),Countai Private Limited,Coimbatore,Immediately,3 Months,"? 8,000 /month +  Incentives","Supply Chain Management, Logistics, Excel, Inventory Management, Leadership, Communication, Planning, MS Office"
Marketing,Metagro Private Limited,Hyderabad,Immediately,3 Months,"? 10,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Electronics Engineering,House Technologies,Delhi,Immediately,3 Months,"? 10,000 /month","Electronics, Circuit Design, PCB Design, Microcontrollers, MATLAB"
CAD & Product Design,STEMpedia,Ahmedabad,Immediately,3 Months,"? 8,000-12,000 /month","Figma, User Research, Prototyping, Design Systems, Visual Design, AutoCAD, SolidWorks, Technical Drawing"
Architecture,ABC Architect's Consultants,Mumbai,Immediately,3 Months,"? 4,500 /month","AutoCAD, Revit, SketchUp, Design Thinking, 3D Visualization"
Social Entrepreneurship,NayePankh Foundation,Work From Home,Immediately,3 Months,Unpaid,"Communication, Problem Solving, Teamwork, MS Office"
PowerShell Development,TechPio Services LLP,Mohali,Immediately,3 Months,"? 12,000-15,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Energy Efficiency Research,Energy Alternatives India,Chennai,Immediately,3 Months,"? 15,000-20,000 /month","Research Methodology, Data Analysis, Academic Writing, Literature Review"
Business Development (Sales),Ep.Log Media,Mumbai,Immediately,3 Months,"? 5,000-10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Social Media Marketing,Scope For Change,Work From Home,Immediately,3 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
AWS Terraform &  Kubernetes DevOps,RedCarpetUp,Work From Home,Immediately,3 Months,"? 5,000 /month","Kubernetes, Docker, Linux, Helm, CI/CD, AWS/Azure/GCP, Bash, AWS"
Design & Manufacturing,Primary Healthtech,Guwahati,Immediately,3 Months,"? 5,000-10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Investor Relation (Women Candidates Only),Smart HR Consultants,Mumbai,Immediately,3 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Chartered Accountancy (CA) Articleship,Bedi And Associates,Delhi,Immediately,3 Months,"? 3,000-5,000 /month","CA Knowledge, Accounting Standards, Taxation, Audit, Tally"
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,3 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Flutter Development,ShellCode IT Services Private Limited,Pune,Immediately,3 Months,"? 10,000 /month","Flutter, Dart, Mobile UI, REST APIs, Firebase"
Data Entry - Chennai,Cuberoutes,Chennai,Immediately,3 Months,"? 5,000 /month","Typing Speed, MS Excel, Attention to Detail, Data Management"
Graphic Design,NetBramha Studios,Bangalore,Immediately,3 Months,"? 10,000-15,000 /month","Adobe Photoshop, Adobe Illustrator, Canva, Typography, Color Theory"
C# .NET Development,Quantasis Private Limited,Mumbai,Immediately,3 Months,"? 6,000-12,000 /month","C#, .NET, OOP, Visual Studio"
Creative Editing & Virtual Assistance For Ecommerce Brand,Monokai Media,Work From Home,Immediately,3 Months,"? 10,000 /month","MS Office, Communication, Organization, Time Management, Data Entry, E-commerce Platforms, Digital Marketing, Product Listing"
Accounts & Finance Management,Urja Talents,Mumbai,Immediately,3 Months,"? 8,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving, Financial Analysis, Excel, Accounting Basics"
Subject Matter Expert (Accounting),Paradise Edu Services,Work From Home,Immediately,3 Months,"? 12,000 /month","Domain Expertise, Teaching, Content Development, Communication, Tally, Excel, Financial Statements, GST"
Community Management,InAmigos Foundation,Work From Home,Immediately,3 Months,Unpaid,"Leadership, Communication, Planning, MS Office, Problem Solving, Community Management, Social Media, Event Planning"
Marketing Operations,Unschool,Work From Home,Immediately,3 Months,"? 1,000-2,000 /month","Process Optimization, Excel, Communication, Project Management, Marketing Strategy, Analytics, Content Creation"
Subject Matter Expert (Mathematics),HaZZten,Work From Home,Immediately,3 Months,"? 10,000-20,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Marketing,Shreeyash Associates,Pune,Immediately,3 Months,"? 5,000-7,500 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Field Visit For Data Collection,LearnAsYouGo Private Limited,Villupuram,Immediately,3 Months,"? 12,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Business Development (Sales),Starz,Work From Home,Immediately,3 Months,"? 5,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Data Annotation (Non-Tech),Bilateral Solutions Private Limited,Mandi,Immediately,3 Months,"? 10,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Power Electronics Engineering (Electric Vehicles),Veer B Mahapatra,Bangalore,Immediately,3 Months,"? 10,000 /month","Electronics, Circuit Design, PCB Design, Microcontrollers, MATLAB"
Digital Marketing,Start Solar India,Delhi,Immediately,3 Months,"? 5,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Product Design - Industrial Design (ID),Greendzine Technologies,Bangalore,Immediately,3 Months,"? 18,000 /month","Figma, User Research, Prototyping, Design Systems, Visual Design"
Virtual Volunteering,InAmigos Foundation,Work From Home,Immediately,3 Months,Unpaid,"Communication, Teamwork, Empathy, Adaptability"
Android Teaching Assistance (Virtual),Internshala Trainings,Work From Home,Immediately,6 Months,"? 5,000 /month +  Incentives","Subject Knowledge, Communication, Patience, Lesson Planning, Java/Kotlin, Android SDK, XML, Android Studio"
Business Development (Sales),Comit Solution,Work From Home,Immediately,6 Months,"? 1,000-8,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Pre-Sales And Sales Support,Paathshala Spark,Work From Home,Immediately,6 Months,"? 5,000 /month","Customer Support, Communication, Troubleshooting, Ticketing Systems, Negotiation, CRM, Lead Generation, Presentation"
Remote Tele Sales Executive - Real Estate,BN Habitat Pvt Ltd,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Real Estate Knowledge, Communication, Negotiation, Market Research, MS Office, Organization, Problem Solving, CRM"
Mechanical Design,Countai Private Limited,Erode,Immediately,6 Months,"? 10,000 /month","AutoCAD, SolidWorks, Thermodynamics, Manufacturing, MATLAB"
Sales ( Work from home),Time Your Money,Guwahati,Immediately,6 Months,"? 2,000 /month +  Incentives","Communication, Negotiation, CRM, Lead Generation, Presentation"
Analytical Chemistry,A.S.E Analytics LLP,Ahmedabad,Immediately,6 Months,"? 18,000-26,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Environmental Engineering,Pro India,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Environmental Science, Data Analysis, Research, Sustainability"
Learning & Development,Avaesa,Work From Home,Immediately,6 Months,"? 4,000 /month +  Incentives","Communication, Problem Solving, Teamwork, MS Office"
Oscillation And Waves Teaching,Paathshala Spark,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Subject Knowledge, Communication, Patience, Lesson Planning"
Human Resources (teams),Adore Earth,Work From Home,Immediately,6 Months,Unpaid,"Communication, HR Policies, Recruitment, Excel, Employee Relations"
Subject Matter Expert (SME) Economics,Decorfair Overseas LLP,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Domain Expertise, Teaching, Content Development, Communication"
Business Development (Sales),BookMySuites,Panjim,Immediately,6 Months,"? 6,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Teaching (Abacus),GEMA Education Technology Private Limited,Work From Home,Immediately,6 Months,"? 2,000 /month","Subject Knowledge, Communication, Patience, Lesson Planning"
Leads Generation/Inside Sales,AntWalk,Work From Home,Immediately,6 Months,"? 10,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
AI Procurement Chatbot Based On Bubble.io And Open AI,"Graynomics (Houston, United States)",Work From Home,Immediately,6 Months,"? 5,000 /month","Python, Machine Learning, Data Analysis, Problem Solving"
Volunteering,Adore Earth,Work From Home,Immediately,6 Months,Unpaid,"Communication, Teamwork, Empathy, Adaptability"
Business Development (Sales),Atelierish Media,Kolkata,Immediately,6 Months,"? 7,000-12,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Applied Thermodynamics Teaching,Paathshala Spark,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Subject Knowledge, Communication, Patience, Lesson Planning"
Search Engine Optimization (SEO),Codefeast,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Digital Marketing,ActiveLoc,Bangalore,Immediately,6 Months,"? 12,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Business Development (Sales),Simple Enterprises,Work From Home,Immediately,6 Months,"? 1,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Mechanics Teaching,Paathshala Spark,Work From Home,Immediately,6 Months,"? 1,000 /month +  Incentives","Subject Knowledge, Communication, Patience, Lesson Planning"
Lead Generation Specialist,297 Digital,Work From Home,Immediately,6 Months,"? 5,000 /month +  Incentives","Research, CRM, Communication, Cold Calling, LinkedIn"
UI/UX Design Developement,Bootstrap Digital Solutions,Delhi,Immediately,6 Months,"? 3,000-5,000 /month","User Research, Wireframing, Prototyping, Usability Testing, Figma, Adobe XD"
Subject Matter Expert (SME) - Economics,Endeavor Academy,Work From Home,Immediately,6 Months,"? 5,000 /month +  Incentives","Domain Expertise, Teaching, Content Development, Communication"
Subject Matter Expert - Physics,Endeavor Academy,Work From Home,Immediately,6 Months,"? 5,000 /month +  Incentives","Domain Expertise, Teaching, Content Development, Communication"
Business Development (Sales),AulaCube Technologies Private Limited,Work From Home,Immediately,6 Months,"? 4,000-8,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
T3 Stack Development,Metaverse Ventures Private Limited,Work From Home,Immediately,6 Months,"? 25,000-30,000 /month","TypeScript, Next.js, tRPC, Prisma, Tailwind CSS"
User Research,Ostello India Private Limited,Work From Home,Immediately,6 Months,"? 3,000-6,000 /month","User Research, Surveys, Interviews, Usability Testing, Analytics, Research Methodology, Data Analysis, Academic Writing"
"Share Broking, Investment & Personal Finance",MAK Securities,Kolkata,Immediately,6 Months,"? 8,000 /month","Financial Analysis, Valuation, Excel, Market Research, Financial Modeling, Accounting Basics"
Onboarding Management,Hivyu Prive,Mumbai,Immediately,6 Months,"? 6,000 /month","Leadership, Communication, Planning, MS Office, Problem Solving"
Sales,Qriocity Ventures Private Limited,Work From Home,Immediately,6 Months,"? 5,000-10,000 /month","Communication, Negotiation, CRM, Lead Generation, Presentation"
Business Development (Sales),Yardstick,Work From Home,Immediately,6 Months,"? 5,000-10,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Law/Legal,M A GANI ASSOCIATES,Navi Mumbai,Immediately,6 Months,"? 2,500 /month","Legal Research, Contract Drafting, Legal Writing, Compliance, Case Analysis, Regulatory Compliance"
Business Development (Sales),Yodaplus Technologies,Work From Home,Immediately,6 Months,"? 5,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Business Development (Sales),BookMySuites,Agartala,Immediately,6 Months,"? 6,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
WordPress Web Design And Digital Marketing,Credofy Solutions,Delhi,Immediately,6 Months,"? 5,000 /month +  Incentives","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, HTML, CSS, JavaScript"
Campus Ambassador,TopUni Network,Ahmedabad,Immediately,6 Months,Performance Based,"Communication, Problem Solving, Teamwork, MS Office"
Statistics And Probability (Subject Matter Expert),HaZZten,Work From Home,Immediately,6 Months,"? 10,000-20,000 /month","Domain Expertise, Teaching, Content Development, Communication, Statistics, R/Python, Data Analysis, Probability"
Tele-sales,BizUp,Work From Home,Immediately,3 Months,"? 8,000 /month +  Incentives","Communication, Negotiation, CRM, Lead Generation, Presentation, Customer Handling"
Human Resources (HR),PassionMojo Private Limited,Work From Home,Immediately,3 Months,"? 2,000-2,500 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Subject Matter Expert (Economics),Innovalance Learning Systems,Work From Home,Immediately,3 Months,"? 12,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Social Media And Content Marketing,Topsdraw Insights Private Limited,Work From Home,Immediately,3 Months,"? 7,500 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Business Development (Sales),Greendzine Technologies,Bangalore,Immediately,3 Months,"? 18,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Instructional Design,Avaesa,Work From Home,Immediately,3 Months,"? 8,000 /month +  Incentives","Communication, Problem Solving, Teamwork, MS Office"
Sports Content Writing (Tennis),FirstSportz,Work From Home,Immediately,3 Months,"? 6,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Recruitment Consultant,Hiring Trendz Placement Services,Delhi,Immediately,3 Months,"? 5,000 /month","Sourcing, Communication, LinkedIn, ATS, Screening, Domain Knowledge, Problem Solving, Presentation"
Nursing (Subject Matter Expert),HaZZten,Work From Home,Immediately,3 Months,"? 10,000-20,000 /month","Domain Expertise, Teaching, Content Development, Communication"
Business Development (Sales),Wardrobe of a Monk,Work From Home,Immediately,3 Months,"? 10,000 /month +  Incentives","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Field Sales,K12 Techno Services Private Limited,Indore,Immediately,3 Months,"? 15,000 /month","Communication, Travel, Negotiation, Territory Management, CRM, Lead Generation, Presentation"
Business Development (Sales),Social Agni,Work From Home,Immediately,3 Months,"? 2,500 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
Lead Generation,Unity Internet Private Limited,Work From Home,Immediately,3 Months,"? 2,000 /month +  Incentives","Research, CRM, Communication, Cold Calling, LinkedIn"
Full Stack Development,Zversal,Mohali,Not specified,3 Months,"? 7,500 /month","HTML, CSS, JavaScript, Node.js, Databases, REST APIs, Git"
Social Media Marketing,Gupta H K & Associates,Work From Home,Immediately,3 Months,"? 4,000-8,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Social Media Marketing,Demystik,Mohali,Immediately,3 Months,"? 8,000-12,000 /month","Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Digital Marketing,Easy To Pitch,Work From Home,Immediately,3 Months,"? 8,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Social Media Marketing,Shree Vidhyaguru Foundation,Work From Home,Immediately,3 Months,Unpaid,"Social Media Platforms, Content Creation, Canva, Analytics, Copywriting, Marketing Strategy, Communication"
Search Engine Optimization (SEO),INDMoney,Gurgaon,Immediately,3 Months,"? 15,000 /month","SEO, Google Analytics, Keyword Research, HTML, Content Writing"
Video Making/Editing,EazyFixit,Pune,Immediately,3 Months,"? 8,000 /month","Video Production, Editing Software, Storytelling, Camera Skills, Editing, Proofreading, Grammar, Attention to Detail"
Marketing,B B Advisory,Work From Home,Immediately,3 Months,"? 2,000-8,000 /month","Marketing Strategy, Communication, Analytics, Content Creation"
Human Resources (HR),Yhills Edutech Private Limited,Noida,Immediately,3 Months,"? 10,000 /month","Communication, HR Policies, Recruitment, Excel, Employee Relations, HRIS"
Product Management,Stylework,Gurgaon,Immediately,3 Months,"? 10,000-15,000 /month","Product Strategy, Agile, User Research, Communication, Analytics, Leadership, Planning, MS Office"
Finance,B B Advisory,Work From Home,Immediately,3 Months,"? 2,000-8,000 /month","Financial Analysis, Excel, Accounting Basics, Financial Modeling"
Hindi Documentation/Hindi Module Making,Refining Skills Academy (RS Academy),Work From Home,Immediately,3 Months,"? 1,000 /month","Communication, Problem Solving, Teamwork, MS Office"
Business Development (Sales),HowNWhy Education Solutions Private Limited,Work From Home,Immediately,3 Months,"? 20,000 /month","Communication, Negotiation, Market Research, Lead Generation, CRM, Presentation"
HR,Kalp Solutions,Work From Home,Immediately,3 Months,"? 5,000 /month +  Incentives","Communication, HR Policies, Recruitment, Excel, HRIS"
Full Stack Development With Experience Of Data Analytics,Health Hub India,Work From Home,Immediately,3 Months,"? 30,000 /month +  Incentives","Python, SQL, Excel, Tableau/Power BI, Statistics, HTML, CSS, JavaScript"
"Content Writing For CA, CS, CMA",Unique Academy For Commerce,Work From Home,Immediately,3 Months,"? 3,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Content Writing,Bytesflow Technologies,Chennai,Immediately,3 Months,"? 5,000 /month +  Incentives","Writing, Research, SEO, Grammar, Creativity, Editing"
Presales Lead Business Analyst,Enhanceyaa,Jaipur,Immediately,3 Months,"? 7,000 /month","SQL, Excel, Data Visualization, Requirements Gathering, Communication, Analytical Thinking, Data Analysis, Negotiation"
Digital Marketing,Mediallianz Digital,Mumbai,Immediately,3 Months,"? 2,500 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Digital Marketing,VCN,Pune,Immediately,3 Months,"? 5,000-15,000 /month","SEO, Google Ads, Social Media Marketing, Analytics, Content Strategy, Marketing Strategy, Communication, Content Creation"
Marketing & Sales,Creative Brain Design,Work From Home,Immediately,3 Months,"? 2,000-15,000 /month","Marketing Strategy, Communication, Analytics, Content Creation, Negotiation, CRM, Lead Generation, Presentation"
"NextJS, NodeJS & Firebase Development",Wecofy,Work From Home,Immediately,3 Months,"? 3,000 /month","Node.js, JavaScript, Express.js, REST APIs, MongoDB"
Content Writing,Jones Asset Management,Bangalore,Immediately,3 Months,"? 15,000 /month","Writing, Research, SEO, Grammar, Creativity, Editing"
Mobile App Development,NewsViews,Work From Home,Immediately,3 Months,"? 7,000-15,000 /month","Mobile Development, UI/UX, REST APIs, Git"
